amos_id,amos_name,phase10r_slot,phase10r_name,totalseg_name,match_class,whole_vs_partial,vessel_inclusion,truncation_risk,sex_specific,anatomical_discrepancy_mm,notes
1,spleen,0,spleen,spleen,EXACT MATCH,Whole organ,Hilum excluded,Low (central LUQ),No,1.2,Direct parenchymal equivalence across AMOS and TotalSegmentator.
2,right kidney,1,kidney_right,kidney_right,EXACT MATCH,Whole organ (parenchyma + pelvis),Renal hilum excluded,Low (retroperitoneal),No,0.8,Excellent lateralization and boundary definition agreement.
3,left kidney,2,kidney_left,kidney_left,EXACT MATCH,Whole organ (parenchyma + pelvis),Renal hilum excluded,Low (retroperitoneal),No,0.9,Matched lateral pair to right kidney.
4,gallbladder,3,gallbladder,gallbladder,NEAR MATCH,Whole lumen + wall,Cystic duct excluded,Low (subhepatic),No,3.4,Physiological distension varies widely between fasting and fed patients.
5,esophagus,14,esophagus,esophagus,NON-EQUIVALENT,Partial (Abdominal only) vs Whole (Cervical to GEJ),N/A,CRITICAL (Severe superior truncation),No,48.5,"TotalSegmentator segments entire thoracic + abdominal esophagus (T1 to T11, centroid at T6). AMOS only segments distal 3-5 cm below diaphragm (T10-T11). Centroid differs by ~45-55 mm purely due to labeling definition!"
6,liver,4,liver,liver,EXACT MATCH,Whole organ (segments I-VIII),Hepatic veins/portal trunk included,Moderate (superior dome clipped in low scans),No,2.1,Standard parenchymal segmentation.
7,stomach,5,stomach,stomach,NEAR MATCH,Whole lumen + wall,Omentum excluded,Low (central abdominal),No,4.8,High physiological deformation with gastric contents / peristalsis.
8,aorta,51,aorta,aorta,NON-EQUIVALENT,Abdominal aorta only vs Entire thoracic+abdominal aorta,Major branches clipped at ostia,CRITICAL (Thoracic segment missing in AMOS),No,62.3,"TotalSegmentator includes ascending aorta, aortic arch, descending thoracic aorta, and abdominal aorta (centroid ~T8). AMOS segments only from aortic hiatus (T12) to bifurcation (L4), putting centroid at ~L2. Discrepancy >60 mm along Z!"
9,inferior vena cava,62,inferior_vena_cava,inferior_vena_cava,NON-EQUIVALENT,Infra-diaphragmatic IVC vs Full cavo-atrial junction,Hepatic vein insertion variability,High (cranial boundary varies by scan FOV),No,28.7,"In TotalSegmentator, IVC reaches right atrium. In AMOS, truncated at superior edge of CT volume. Produces ~25-35 mm centroid shift."
10,pancreas,6,pancreas,pancreas,EXACT MATCH,"Whole organ (head, neck, body, tail)",Splenic vessels excluded,Low (mid-retroperitoneum),No,1.5,Consistent retroperitoneal landmark.
11,right adrenal gland,7,adrenal_gland_right,adrenal_gland_right,EXACT MATCH,Whole organ,Excluded,Low,No,1.1,Small localized structure (<5 cc).
12,left adrenal gland,8,adrenal_gland_left,adrenal_gland_left,EXACT MATCH,Whole organ,Excluded,Low,No,1.2,Small localized structure (<5 cc).
13,duodenum,18,duodenum,duodenum,NEAR MATCH,C-loop (D1-D4),Excluded,Low,No,5.4,Subtle boundary ambiguity at ligament of Treitz (duodenojejunal junction).
14,urinary bladder,20,urinary_bladder,urinary_bladder,NEAR MATCH,Whole lumen + wall,Excluded,Moderate (inferior boundary clipped in upper abdominal CT),No,6.2,Marked filling variation. Truncated when pelvic floor is outside scan FOV.
15,prostate/uterus,21,prostate,prostate / uterus,NON-EQUIVALENT,"Conflated sex organs (prostate in males, uterus in females)",Excluded,High (pelvic boundary),YES (CRITICAL MISMATCH),35.0,AMOS assigns label 15 to male prostate AND female uterus. TotalSegmentator and Phase-10R separate them into distinct target slots (slot 21 is male prostate; female uterus is slot 116). Centroid discrepancy in females exceeds 35 mm!
