target_index,target_name,train_support,validation_support,test_support,v2_support,totalsegmentator_support,benchmark_primary,reason_included_or_excluded
0,spleen,1047,143,131,438,883,True,INCLUDED
1,kidney_right,952,127,129,436,772,True,INCLUDED
2,kidney_left,976,130,127,436,797,True,INCLUDED
3,gallbladder,835,108,111,414,640,True,INCLUDED
4,liver,1090,145,142,440,937,True,INCLUDED
5,stomach,1061,145,136,440,902,True,INCLUDED
6,pancreas,981,131,129,437,804,True,INCLUDED
7,adrenal_gland_right,992,133,130,434,821,True,INCLUDED
8,adrenal_gland_left,967,127,128,434,788,True,INCLUDED
9,lung_upper_lobe_left,1162,149,144,433,1022,True,INCLUDED
10,lung_lower_lobe_left,1147,147,145,439,1000,True,INCLUDED
11,lung_upper_lobe_right,913,113,117,267,876,True,INCLUDED
12,lung_middle_lobe_right,1047,135,131,435,878,True,INCLUDED
13,lung_lower_lobe_right,1133,148,143,439,985,True,INCLUDED
14,esophagus,1173,151,145,436,1033,True,INCLUDED
15,trachea,730,84,94,116,792,True,INCLUDED
16,thyroid_gland,654,70,86,110,700,True,INCLUDED
17,small_bowel,993,123,127,435,808,True,INCLUDED
18,duodenum,946,124,124,435,759,True,INCLUDED
19,colon,1071,137,137,437,908,True,INCLUDED
20,urinary_bladder,775,100,105,411,569,True,INCLUDED
21,prostate,467,59,60,269,317,False,NOT_PRIMARY_ONTOLOGY
22,kidney_cyst_left,44,5,5,24,30,False,NOT_PRIMARY_ONTOLOGY
23,kidney_cyst_right,56,4,5,40,25,False,NOT_PRIMARY_ONTOLOGY
24,sacrum,820,107,106,421,612,False,NOT_PRIMARY_ONTOLOGY
25,vertebrae_S1,803,106,105,421,593,True,INCLUDED
26,vertebrae_L5,822,112,108,425,617,True,INCLUDED
27,vertebrae_L4,837,113,110,425,635,True,INCLUDED
28,vertebrae_L3,842,114,112,427,641,True,INCLUDED
29,vertebrae_L2,900,123,119,432,710,True,INCLUDED
30,vertebrae_L1,970,130,131,438,793,True,INCLUDED
31,vertebrae_T12,1033,139,132,438,866,True,INCLUDED
32,vertebrae_T11,1048,142,133,438,885,True,INCLUDED
33,vertebrae_T10,1041,137,129,431,876,True,INCLUDED
34,vertebrae_T9,1002,127,123,406,846,True,INCLUDED
35,vertebrae_T8,912,117,114,357,786,True,INCLUDED
36,vertebrae_T7,811,96,98,278,727,True,INCLUDED
37,vertebrae_T6,735,88,91,193,721,True,INCLUDED
38,vertebrae_T5,697,80,87,137,727,True,INCLUDED
39,vertebrae_T4,683,76,91,112,738,True,INCLUDED
40,vertebrae_T3,682,77,90,111,738,True,INCLUDED
41,vertebrae_T2,673,73,87,111,722,True,INCLUDED
42,vertebrae_T1,660,70,83,111,702,True,INCLUDED
43,vertebrae_C7,634,64,83,99,682,True,INCLUDED
44,vertebrae_C6,460,47,59,41,525,True,INCLUDED
45,vertebrae_C5,265,31,38,11,323,False,NOT_PRIMARY_ONTOLOGY
46,vertebrae_C4,193,24,29,5,241,False,NOT_PRIMARY_ONTOLOGY
47,vertebrae_C3,183,24,25,5,227,False,NOT_PRIMARY_ONTOLOGY
48,vertebrae_C2,198,24,29,2,249,False,NOT_PRIMARY_ONTOLOGY
49,vertebrae_C1,194,24,28,3,243,False,NOT_PRIMARY_ONTOLOGY
50,heart,1074,136,131,428,913,False,NOT_PRIMARY_ONTOLOGY
51,aorta,1225,158,158,439,1102,True,INCLUDED
