source_label_id,source_label_name,source_description,annotation_provenance
1,spleen,TotalSegmentator total task structure spleen,EXPERT_VALIDATED_NNUNET
2,kidney_right,TotalSegmentator total task structure kidney_right,EXPERT_VALIDATED_NNUNET
3,kidney_left,TotalSegmentator total task structure kidney_left,EXPERT_VALIDATED_NNUNET
4,gallbladder,TotalSegmentator total task structure gallbladder,EXPERT_VALIDATED_NNUNET
5,liver,TotalSegmentator total task structure liver,EXPERT_VALIDATED_NNUNET
6,stomach,TotalSegmentator total task structure stomach,EXPERT_VALIDATED_NNUNET
7,pancreas,TotalSegmentator total task structure pancreas,EXPERT_VALIDATED_NNUNET
8,adrenal_gland_right,TotalSegmentator total task structure adrenal_gland_right,EXPERT_VALIDATED_NNUNET
9,adrenal_gland_left,TotalSegmentator total task structure adrenal_gland_left,EXPERT_VALIDATED_NNUNET
10,lung_upper_lobe_left,TotalSegmentator total task structure lung_upper_lobe_left,EXPERT_VALIDATED_NNUNET
11,lung_lower_lobe_left,TotalSegmentator total task structure lung_lower_lobe_left,EXPERT_VALIDATED_NNUNET
12,lung_upper_lobe_right,TotalSegmentator total task structure lung_upper_lobe_right,EXPERT_VALIDATED_NNUNET
13,lung_middle_lobe_right,TotalSegmentator total task structure lung_middle_lobe_right,EXPERT_VALIDATED_NNUNET
14,lung_lower_lobe_right,TotalSegmentator total task structure lung_lower_lobe_right,EXPERT_VALIDATED_NNUNET
15,esophagus,TotalSegmentator total task structure esophagus,EXPERT_VALIDATED_NNUNET
16,trachea,TotalSegmentator total task structure trachea,EXPERT_VALIDATED_NNUNET
17,thyroid_gland,TotalSegmentator total task structure thyroid_gland,EXPERT_VALIDATED_NNUNET
18,small_bowel,TotalSegmentator total task structure small_bowel,EXPERT_VALIDATED_NNUNET
19,duodenum,TotalSegmentator total task structure duodenum,EXPERT_VALIDATED_NNUNET
20,colon,TotalSegmentator total task structure colon,EXPERT_VALIDATED_NNUNET
21,urinary_bladder,TotalSegmentator total task structure urinary_bladder,EXPERT_VALIDATED_NNUNET
22,prostate,TotalSegmentator total task structure prostate,EXPERT_VALIDATED_NNUNET
23,kidney_cyst_left,TotalSegmentator total task structure kidney_cyst_left,EXPERT_VALIDATED_NNUNET
24,kidney_cyst_right,TotalSegmentator total task structure kidney_cyst_right,EXPERT_VALIDATED_NNUNET
25,sacrum,TotalSegmentator total task structure sacrum,EXPERT_VALIDATED_NNUNET
26,vertebrae_S1,TotalSegmentator total task structure vertebrae_S1,EXPERT_VALIDATED_NNUNET
27,vertebrae_L5,TotalSegmentator total task structure vertebrae_L5,EXPERT_VALIDATED_NNUNET
28,vertebrae_L4,TotalSegmentator total task structure vertebrae_L4,EXPERT_VALIDATED_NNUNET
29,vertebrae_L3,TotalSegmentator total task structure vertebrae_L3,EXPERT_VALIDATED_NNUNET
30,vertebrae_L2,TotalSegmentator total task structure vertebrae_L2,EXPERT_VALIDATED_NNUNET
31,vertebrae_L1,TotalSegmentator total task structure vertebrae_L1,EXPERT_VALIDATED_NNUNET
32,vertebrae_T12,TotalSegmentator total task structure vertebrae_T12,EXPERT_VALIDATED_NNUNET
